Max Stress,Compliance
0.84888,24.787
0.71786,61.382
0.71829,46.484
0.67497,26.367
0.72601,61.983
0.79649,57.085
0.6801,30.313
0.70211,63.366
0.65063,64.75
0.88539,28.378
0.7419,17.123
0.79914,43.364
0.65554,63.836
0.5601,48.606
0.73629,19.257
0.76036,52.996
0.67513,68.211
0.78116,36.158
0.78212,35.918
0.66845,16.904
0.64847,5.998
0.65595,8.7372
0.67493,6.1694
0.64203,24.77
0.63574,6.0476
0.64694,64.98
0.79503,45.761
0.6242,6.0643
0.62942,6.0337
0.71539,10.713
0.86671,29.13
0.71962,6.4911
0.63479,6.1027
0.56062,52.248
0.66849,19.65
0.75625,60.542
0.88282,29.015
0.86139,27.321
0.63405,6.0577
0.62722,6.0566
0.64098,6.1844
0.75547,43.748
0.78181,13.444
0.71381,61.659
0.66237,65.949
0.67836,66.413
0.87049,28.683
0.70503,10.879
0.77277,11.152
0.774,35.999
0.82097,47.238
0.6648,15.795
0.83095,27.071
0.77496,46.719
0.65535,65.217
0.7171,7.9502
0.79316,53.37
0.77947,38.358
0.74566,26.793
0.64952,64
0.68037,24.713
0.71796,8.7998
0.79103,46.042
0.80157,45.246
0.75853,15.856
0.73551,59.328
0.74057,70.225
0.66591,66.046
0.66144,6.6875
0.65899,11.239
0.66694,6.1521
0.94925,42.894
0.64909,6.3592
0.81113,23.755
0.70434,63.564
0.90492,36.952
0.80567,22.774
0.69559,9.5852
0.74832,28.369
0.71094,66.253
0.66705,6.6895
0.87466,30.538
0.6633,62.713
0.62508,6.1085
0.76455,51.351
0.69501,67.394
0.66488,14.245
0.72434,7.2953
0.74441,52.91
0.70813,63.423
0.78453,45.726
0.68182,64.356
0.65243,9.3627
0.78428,57.994
0.7384,16.499
0.82493,25.51
0.70162,8.0499
0.72376,58.537
0.77985,36.881
0.5645,52.704
0.70068,59.342
0.67908,6.1377
0.6603,65.376
0.61199,30.752
0.7764,62.699
0.77785,54.992
0.72633,62.028
0.67865,8.0413
0.73864,27.955
0.53352,47.427
0.73617,65.159
0.60685,58.389
0.67507,63.24
0.5647,40.251
0.58109,39.949
0.6979,62.941
0.64352,6.02
0.80955,55.783
0.85355,24.061
0.64603,6.0656
0.78325,55.094
0.70254,7.9145
0.66406,7.6068
0.7547,46.23
0.72327,12.526
0.80532,18.244
0.67676,25.865
0.83013,23.671
0.7855,21.365
0.7941,45.866
0.65759,8.7265
0.72111,8.9977
0.67022,6.0695
0.81901,17.574
0.59017,58.315
0.72379,11.688
0.7741,51.823
0.77055,51.064
0.73248,61.916
0.75279,60.878
0.80421,14.749
0.75598,15.61
0.69106,32.363
0.73964,16.381
0.75598,59.372
0.72777,58.368
0.58903,35.505
0.661,12.936
0.77369,49.462
0.75229,11.178
0.59531,33.244
0.74363,20.198
0.89432,36.116
0.70247,69.842
0.74835,57.997
0.64291,66.084
0.77178,10.751
0.88606,34.245
0.6348,6.0866
0.79619,56.02
0.79746,40.182
0.70894,62.74
0.69276,68.229
0.72505,63.358
0.6727,24.022
0.64305,6.0152
0.9125,33.709
0.737,10.108
0.69868,11.188
0.82096,16.366
0.67707,6.1555
0.70273,54.978
0.72756,58.616
0.78447,37.488
0.66744,17.465
0.75644,60.975
0.797,36.919
0.65717,65.87
0.71252,64.286
0.77635,18.889
0.5955,35.585
0.6726,17.638
0.53939,45.065
0.74115,58.714
0.56961,53.939
0.64367,6.413
0.72658,61.504
0.65578,6.1009
0.80739,24.565
0.69654,53.243
0.5782,55.195
0.74293,19.8
