Max Stress,Compliance
0.65059,19.972
0.81961,41.948
0.89073,17.483
0.77312,11.011
0.8651,116.52
0.74833,34.411
0.73331,31.627
0.78297,32.226
0.78888,51.284
0.87931,78.623
0.79564,10.345
0.79175,93.269
0.7035,65.679
1.0101,91.176
0.77571,36.639
0.76769,50.333
0.7151,11.895
0.65812,20.112
0.84654,77.644
0.7161,35.045
0.97595,98.72
0.66796,16.917
0.82895,126.55
0.83544,66.344
0.81318,83.031
0.86617,138.48
0.6575,33.417
0.66909,43.405
0.87894,53.625
0.90182,86.069
0.74401,90.611
0.73353,13.701
0.67596,19.973
0.7641,36.841
0.84833,12.93
0.82372,62.167
0.64691,35.979
0.62536,20.114
0.64976,22.849
0.79524,103.27
0.94703,79.661
0.89987,54.221
0.82827,102.13
0.69402,14.733
0.77639,84.832
1.3029,87.237
0.66878,70.215
0.79957,20.687
0.82492,65.891
0.80709,31.958
0.68996,17.754
0.79183,24.461
0.81313,95.615
0.72704,13.235
0.67166,26.257
0.70322,12.334
0.86266,50.814
0.8022,9.861
0.80833,106.53
0.70743,22.47
0.65842,14.798
0.68959,33.98
1.2681,56.644
0.7394,15.102
0.87306,134.37
0.81853,33.595
0.63611,34.75
0.73422,12.183
0.81395,34.875
0.72684,12.003
0.87585,61.178
0.75587,87.084
0.79356,75.855
0.75436,15.586
0.73588,13.933
0.81431,87.89
0.86643,103.45
0.86749,62.33
0.76282,14.756
0.82235,92.092
0.79124,37.251
0.74497,32.332
0.745,85.318
0.72881,10.091
0.77847,12.209
0.86168,77.516
0.84123,72.656
0.86148,66.581
0.82131,84.109
0.89091,83.339
0.79339,88.358
0.70459,32.086
0.88091,81.697
0.71887,66.799
0.82595,44.969
0.7187,14.109
0.85252,88.354
0.79877,41.719
0.83653,72.613
0.81381,88.412
0.72762,15.976
0.78337,16.877
0.71789,64.711
0.70215,56.078
0.96924,101.49
0.84284,83.526
0.97294,84.429
1.0393,14.588
0.73364,13.817
0.68363,14.911
0.82967,89.471
0.84684,118.68
0.75671,83.235
0.68715,17.39
0.84039,83.222
0.72425,16.236
0.62358,16.669
0.83347,74.491
0.6259,36.117
0.99946,77.101
0.98445,85.618
0.73086,70.388
0.83173,85.264
0.69929,26.248
0.78535,83.505
0.86844,119.38
1.0071,97.592
0.72987,14.585
0.775,38.577
0.79728,40.699
0.8216,79.975
0.9252,70.458
0.84279,98.929
0.63055,39.93
0.70264,21.928
0.65739,14.479
0.97227,88.332
0.77454,23.912
0.67162,44.147
0.92908,66.458
0.74164,23.837
0.75285,77.366
0.82076,52.974
0.74586,18.289
0.81192,88.569
0.73583,15.699
0.79499,28.606
0.7852,26.277
0.64335,59.579
0.64012,14.782
0.79145,44.019
0.75667,16.461
0.75347,14.802
0.74763,88.974
0.77342,31.633
0.85757,72.187
0.84777,117.68
